BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
He                                                              
bolsig_input_turner.txt
How to reference in publications:
1) PHELPS database, http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        300.0    
Excitation temperature (K)                 300.0    
Transition energy (eV)                     0.000    
Ionization degree                          0.000    
Plasma density (1/m3)                     0.1000E+19
Ion charge parameter                       1.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           200.0    
Grid type                                  0.000    
Maximum energy                             200.0    
Precision                                 0.1000E-09
Convergence                               0.1000E-03
1.630	0.4213E+25
1.723	0.4351E+25
1.821	0.4498E+25
1.924	0.4654E+25
2.033	0.4821E+25
2.149	0.5000E+25
2.270	0.5193E+25
2.399	0.5402E+25
2.536	0.5629E+25
2.679	0.5875E+25
2.832	0.6144E+25
2.992	0.6437E+25
3.162	0.6754E+25
3.342	0.7098E+25
3.531	0.7468E+25
3.732	0.7863E+25
3.944	0.8283E+25
4.168	0.8728E+25
4.404	0.9197E+25
4.654	0.9693E+25
4.919	0.1022E+26
5.198	0.1077E+26
5.493	0.1135E+26
5.804	0.1198E+26
6.134	0.1267E+26
6.482	0.1342E+26
6.850	0.1426E+26
7.239	0.1521E+26
7.650	0.1631E+26
8.084	0.1759E+26
8.543	0.1909E+26
9.028	0.2079E+26
9.541	0.2273E+26
10.08	0.2489E+26
10.65	0.2732E+26
11.26	0.2998E+26
11.90	0.3292E+26
12.57	0.3614E+26
13.29	0.3964E+26
14.04	0.4342E+26
14.84	0.4750E+26
15.68	0.5187E+26
16.57	0.5654E+26
17.51	0.6150E+26
18.51	0.6676E+26
19.56	0.7231E+26
20.67	0.7815E+26
21.84	0.8429E+26
23.08	0.9072E+26
24.39	0.9746E+26
25.78	0.1045E+27
27.24	0.1119E+27
28.79	0.1195E+27
30.42	0.1276E+27
32.15	0.1359E+27
33.97	0.1447E+27
35.90	0.1538E+27
37.94	0.1633E+27
40.09	0.1733E+27
42.37	0.1838E+27
44.77	0.1947E+27
47.31	0.2062E+27
50.00	0.2183E+27
 
 
Energy (eV)	Total collision freq. /N (m3/s)
0.2000	0.1554E-13
0.2113	0.1604E-13
0.2234	0.1656E-13
0.2360	0.1709E-13
0.2494	0.1764E-13
0.2636	0.1820E-13
0.2786	0.1879E-13
0.2944	0.1939E-13
0.3111	0.2001E-13
0.3287	0.2065E-13
0.3474	0.2131E-13
0.3671	0.2199E-13
0.3880	0.2269E-13
0.4100	0.2341E-13
0.4333	0.2415E-13
0.4578	0.2491E-13
0.4838	0.2570E-13
0.5113	0.2650E-13
0.5403	0.2734E-13
0.5710	0.2819E-13
0.6034	0.2907E-13
0.6376	0.2998E-13
0.6739	0.3091E-13
0.7121	0.3187E-13
0.7526	0.3285E-13
0.7953	0.3385E-13
0.8405	0.3489E-13
0.8882	0.3595E-13
0.9385	0.3703E-13
0.9918	0.3814E-13
1.048	0.3928E-13
1.108	0.4044E-13
1.170	0.4163E-13
1.237	0.4283E-13
1.307	0.4406E-13
1.381	0.4531E-13
1.460	0.4658E-13
1.543	0.4786E-13
1.630	0.4915E-13
1.723	0.5046E-13
1.821	0.5177E-13
1.924	0.5309E-13
2.033	0.5441E-13
2.149	0.5573E-13
2.270	0.5705E-13
2.399	0.5835E-13
2.536	0.5963E-13
2.679	0.6090E-13
2.832	0.6214E-13
2.992	0.6336E-13
3.162	0.6455E-13
3.342	0.6570E-13
3.531	0.6682E-13
3.732	0.6791E-13
3.944	0.6897E-13
4.168	0.6998E-13
4.404	0.7096E-13
4.654	0.7189E-13
4.919	0.7278E-13
5.198	0.7362E-13
5.493	0.7439E-13
5.804	0.7508E-13
6.134	0.7570E-13
6.482	0.7624E-13
6.850	0.7672E-13
7.239	0.7714E-13
7.650	0.7748E-13
8.084	0.7771E-13
8.543	0.7783E-13
9.028	0.7784E-13
9.541	0.7776E-13
10.08	0.7760E-13
10.65	0.7736E-13
11.26	0.7707E-13
11.90	0.7671E-13
12.57	0.7630E-13
13.29	0.7584E-13
14.04	0.7534E-13
14.84	0.7480E-13
15.68	0.7423E-13
16.57	0.7363E-13
17.51	0.7300E-13
18.51	0.7235E-13
19.56	0.7168E-13
20.67	0.7099E-13
21.84	0.7029E-13
23.08	0.6958E-13
24.39	0.6885E-13
25.78	0.6812E-13
27.24	0.6739E-13
28.79	0.6665E-13
30.42	0.6592E-13
32.15	0.6518E-13
33.97	0.6444E-13
35.90	0.6371E-13
37.94	0.6299E-13
40.09	0.6227E-13
42.37	0.6156E-13
44.77	0.6086E-13
47.31	0.6017E-13
50.00	0.5950E-13
 
 
Energy (eV)	Momentum frequency /N (m3/s)
0.2000	0.2010E-13
0.2113	0.2076E-13
0.2234	0.2144E-13
0.2360	0.2214E-13
0.2494	0.2286E-13
0.2636	0.2360E-13
0.2786	0.2437E-13
0.2944	0.2515E-13
0.3111	0.2596E-13
0.3287	0.2679E-13
0.3474	0.2765E-13
0.3671	0.2853E-13
0.3880	0.2944E-13
0.4100	0.3037E-13
0.4333	0.3133E-13
0.4578	0.3232E-13
0.4838	0.3333E-13
0.5113	0.3437E-13
0.5403	0.3544E-13
0.5710	0.3654E-13
0.6034	0.3767E-13
0.6376	0.3883E-13
0.6739	0.4002E-13
0.7121	0.4124E-13
0.7526	0.4249E-13
0.7953	0.4376E-13
0.8405	0.4507E-13
0.8882	0.4641E-13
0.9385	0.4777E-13
0.9918	0.4915E-13
1.048	0.5057E-13
1.108	0.5200E-13
1.170	0.5346E-13
1.237	0.5493E-13
1.307	0.5641E-13
1.381	0.5791E-13
1.460	0.5940E-13
1.543	0.6091E-13
1.630	0.6240E-13
1.723	0.6390E-13
1.821	0.6537E-13
1.924	0.6683E-13
2.033	0.6827E-13
2.149	0.6967E-13
2.270	0.7104E-13
2.399	0.7236E-13
2.536	0.7363E-13
2.679	0.7483E-13
2.832	0.7598E-13
2.992	0.7705E-13
3.162	0.7804E-13
3.342	0.7894E-13
3.531	0.7976E-13
3.732	0.8050E-13
3.944	0.8113E-13
4.168	0.8167E-13
4.404	0.8210E-13
4.654	0.8242E-13
4.919	0.8262E-13
5.198	0.8268E-13
5.493	0.8261E-13
5.804	0.8239E-13
6.134	0.8202E-13
6.482	0.8151E-13
6.850	0.8091E-13
7.239	0.8021E-13
7.650	0.7941E-13
8.084	0.7847E-13
8.543	0.7743E-13
9.028	0.7633E-13
9.541	0.7519E-13
10.08	0.7402E-13
10.65	0.7283E-13
11.26	0.7166E-13
11.90	0.7052E-13
12.57	0.6939E-13
13.29	0.6829E-13
14.04	0.6725E-13
14.84	0.6624E-13
15.68	0.6528E-13
16.57	0.6438E-13
17.51	0.6354E-13
18.51	0.6274E-13
19.56	0.6201E-13
20.67	0.6134E-13
21.84	0.6071E-13
23.08	0.6015E-13
24.39	0.5964E-13
25.78	0.5919E-13
27.24	0.5879E-13
28.79	0.5844E-13
30.42	0.5814E-13
32.15	0.5788E-13
33.97	0.5767E-13
35.90	0.5750E-13
37.94	0.5738E-13
40.09	0.5730E-13
42.37	0.5726E-13
44.77	0.5724E-13
47.31	0.5726E-13
50.00	0.5732E-13
 
 
Energy (eV)	Total ionization freq. /N (m3/s)
0.2000	0.000
0.2113	0.000
0.2234	0.000
0.2360	0.000
0.2494	0.000
0.2636	0.000
0.2786	0.000
0.2944	0.000
0.3111	0.000
0.3287	0.000
0.3474	0.000
0.3671	0.000
0.3880	0.000
0.4100	0.000
0.4333	0.000
0.4578	0.000
0.4838	0.000
0.5113	0.000
0.5403	0.000
0.5710	0.000
0.6034	0.000
0.6376	0.000
0.6739	0.000
0.7121	0.000
0.7526	0.000
0.7953	0.000
0.8405	0.000
0.8882	0.000
0.9385	0.000
0.9918	0.000
1.048	0.000
1.108	0.000
1.170	0.000
1.237	0.000
1.307	0.000
1.381	0.000
1.460	0.000
1.543	0.000
1.630	0.000
1.723	0.000
1.821	0.000
1.924	0.000
2.033	0.000
2.149	0.000
2.270	0.000
2.399	0.000
2.536	0.000
2.679	0.9469E-27
2.832	0.1301E-25
2.992	0.6054E-25
3.162	0.2160E-24
3.342	0.6874E-24
3.531	0.1942E-23
3.732	0.5142E-23
3.944	0.1277E-22
4.168	0.3061E-22
4.404	0.7153E-22
4.654	0.1644E-21
4.919	0.3814E-21
